label,ph,temperature,humidity,altitude,rainfall,N,P,K
Almond,7.44,23.88,60.99,940,742.68,110,42,59
Almond,6.89,15.6,40.53,1161,730.38,82,50,118
Almond,6.86,29.92,57.35,1267,950.48,70,53,102
Almond,6.94,24.11,66.15,776,973.61,120,43,72
Almond,6.1,22.06,64.71,247,827.01,37,53,102
Almond,6.5,28.42,65.88,432,764.04,112,40,52
Almond,7.46,17.78,69.5,682,457.75,65,58,64
Almond,6.73,15.45,56.15,1323,756.22,66,57,85
Almond,6.12,19.1,48.86,199,602.68,98,43,62
Almond,6.51,16.42,65.3,527,547.85,117,51,95
Almond,6.44,28.24,62.64,432,543.67,55,35,108
Almond,6.26,26.31,55.24,653,845.14,31,50,73
Almond,6.44,28.28,60.9,243,552.77,92,39,109
Almond,7.15,29.96,53.76,1476,498.29,95,24,62
Almond,6.86,16.76,47.46,696,946.72,34,35,67
Almond,6.92,15.06,40.44,461,788.68,64,34,54
Almond,6.94,29.77,61.76,775,652.92,89,47,119
Almond,6.03,18.93,61.75,1339,679.97,73,47,58
Almond,6.13,29.0,54.72,612,718.38,94,40,54
Almond,6.04,23.28,62.26,329,720.11,119,51,114
Almond,7.39,21.64,47.98,568,821.94,40,43,109
Almond,6.17,24.73,58.6,112,426.91,67,31,58
Almond,6.52,26.0,69.92,1107,946.67,67,31,79
Almond,6.07,19.71,49.11,618,883.35,63,36,109
Almond,6.32,25.6,47.2,1395,765.79,69,46,85
Almond,7.01,20.73,42.64,444,579.09,111,24,66
Almond,6.89,26.01,40.02,254,730.52,73,42,100
Almond,6.14,15.71,50.01,1064,899.26,59,25,88
Almond,7.43,16.4,68.8,779,913.16,77,25,62
Almond,6.77,24.54,65.23,497,946.26,64,50,103
Almond,6.85,20.03,54.27,289,478.7,102,24,59
Almond,6.22,24.07,63.91,991,817.54,88,58,83
Almond,6.94,21.67,54.72,392,749.46,79,55,92
Almond,7.13,16.8,58.32,1401,733.25,57,59,61
Almond,6.93,25.41,47.49,1401,550.62,102,29,105
Almond,7.0,16.73,50.22,1362,819.51,46,57,78
Almond,7.48,23.37,50.46,1013,897.41,103,20,53
Almond,7.49,21.32,54.51,615,572.96,31,40,105
Almond,7.45,29.41,55.11,372,443.59,38,40,62
Almond,6.35,22.18,61.5,584,619.7,68,35,62
Almond,7.45,27.38,52.77,106,549.09,54,55,67
Almond,6.21,16.7,63.34,1374,599.18,77,56,74
Almond,6.45,29.7,40.09,1007,429.72,60,53,84
Almond,7.14,28.77,48.09,580,693.56,52,47,88
Almond,6.13,25.34,43.93,1087,588.31,46,50,108
Almond,7.49,28.68,59.43,754,889.27,74,26,56
Almond,6.98,24.17,64.44,1034,679.45,82,58,55
Almond,6.87,21.34,64.46,604,489.64,79,39,95
Almond,6.07,17.45,54.15,1020,534.9,94,39,69
Almond,7.17,25.62,63.67,366,905.17,35,55,62
Almond,7.2,21.14,62.11,889,540.47,66,44,81
Almond,7.44,15.09,44.79,279,668.82,112,40,61
Almond,6.35,26.05,55.1,341,787.24,56,30,66
Almond,6.07,20.1,67.03,754,483.64,76,28,87
Almond,6.24,27.6,61.73,720,660.61,102,30,94
Almond,7.11,25.02,53.44,819,894.45,56,31,58
Almond,6.05,17.69,64.56,689,540.51,100,53,114
Almond,7.27,19.27,63.31,1151,522.78,72,57,104
Almond,6.29,23.09,48.24,533,642.45,107,29,110
Almond,6.04,27.75,54.3,1372,790.78,76,28,76
Almond,7.38,15.12,60.19,508,576.42,40,43,71
Almond,6.28,19.87,58.02,180,468.56,108,46,76
Almond,6.15,22.47,57.14,171,609.49,91,57,92
Almond,7.17,19.39,43.85,206,934.33,50,54,92
Almond,7.31,23.92,65.93,377,519.98,56,29,81
Almond,6.11,28.7,42.58,560,519.65,59,36,83
Almond,6.36,26.81,54.53,682,531.6,52,43,50
Almond,6.91,29.9,42.78,1430,866.16,71,41,100
Almond,6.48,17.55,43.88,793,734.6,85,32,102
Almond,6.94,23.65,58.97,1497,939.4,111,44,105
Almond,6.03,17.26,56.95,396,503.16,70,24,117
Almond,6.73,21.67,69.27,1348,888.25,70,48,74
Almond,6.62,23.97,58.91,589,725.96,79,49,59
Apple,6.58,17.35,46.24,1966,837.96,129,21,169
Apple,5.88,23.92,44.43,1693,928.44,94,23,220
Apple,6.13,19.79,37.99,2358,908.76,113,27,205
Apple,6.23,15.48,33.94,3064,635.95,100,20,163
Apple,6.47,13.69,32.24,1844,874.37,132,27,174
Apple,6.84,24.34,47.88,3025,607.33,109,28,227
Apple,5.95,12.59,34.9,2518,910.58,123,19,241
Apple,6.95,18.52,44.47,1507,633.58,147,24,170
Apple,6.82,23.53,47.67,3063,624.37,129,20,236
Apple,6.53,24.56,36.5,2197,846.26,110,18,229
Apple,5.88,19.41,35.3,2451,930.73,90,16,168
Apple,6.78,17.07,41.83,2665,985.09,111,20,180
Apple,6.73,15.87,38.68,1854,683.55,111,23,166
Apple,6.54,12.65,31.03,2273,945.26,149,28,161
Apple,5.53,24.56,43.35,2988,820.12,103,18,173
Apple,6.22,25.09,49.83,2808,837.43,121,24,206
Apple,5.76,26.6,37.08,2329,656.7,125,16,162
Apple,6.91,15.77,38.88,2410,637.34,116,27,184
Apple,6.41,13.27,48.46,1761,775.0,141,19,205
Apple,6.06,24.81,34.74,1743,698.49,118,19,222
Apple,6.35,24.81,36.02,2273,845.83,121,21,158
Apple,6.52,15.29,46.77,2482,888.03,85,28,209
Apple,6.7,16.44,36.91,2377,728.68,130,18,197
Apple,6.89,24.02,45.17,2908,648.19,142,28,198
Apple,6.79,21.39,48.23,2297,805.54,104,17,231
Apple,5.87,18.47,32.59,3211,669.46,149,27,158
Apple,6.92,17.13,49.74,2176,720.53,112,22,166
Apple,6.77,15.14,39.27,3291,696.11,130,16,245
Apple,6.06,23.69,30.47,1764,605.62,125,20,202
Apple,5.9,10.33,39.47,1424,605.27,96,25,203
Apple,6.91,19.98,38.9,2698,750.97,98,22,234
Apple,6.03,24.89,33.55,2445,864.69,110,22,211
Apple,6.76,19.0,31.44,2013,812.33,91,28,249
Apple,6.99,22.09,48.03,3172,869.84,100,17,198
Apple,6.1,24.03,45.44,2509,750.03,100,28,158
Apple,6.78,11.0,37.89,2769,601.71,127,19,247
Apple,6.98,23.79,44.97,2165,768.89,118,17,243
Apple,6.8,26.68,41.31,1626,861.59,106,22,155
Apple,6.95,11.53,40.13,2508,808.98,137,18,150
Apple,6.62,16.97,46.4,2698,811.03,111,22,178
Apple,5.96,15.03,41.45,3042,720.86,145,21,206
Apple,5.95,17.22,31.63,1791,852.84,81,23,200
Apple,6.96,22.15,38.9,2440,707.84,100,27,236
Apple,6.62,20.93,46.7,1769,914.79,146,26,209
Apple,6.27,22.78,31.87,1610,674.5,102,25,180
Apple,6.15,20.18,35.37,2675,744.22,123,16,236
Apple,6.65,15.85,36.46,2645,823.23,127,25,153
Apple,6.56,16.47,30.73,2398,834.47,114,20,219
Apple,6.87,16.77,36.29,1526,973.45,141,29,152
Apple,6.47,13.38,37.67,1648,610.9,83,28,159
Apple,6.12,26.07,48.48,2743,730.48,126,17,158
Apple,5.89,11.14,43.34,2270,663.08,105,17,218
Apple,6.46,21.79,40.67,3104,872.87,100,28,174
Apple,6.0,10.77,46.16,2382,954.01,120,21,182
Apple,6.92,14.01,39.83,2959,612.17,82,28,199
Apple,6.53,15.07,49.03,2727,719.49,121,27,171
Apple,6.24,25.2,39.13,1482,923.77,94,27,184
Apple,5.66,13.27,45.29,1453,933.85,133,19,165
Apple,5.82,16.0,42.52,1882,967.92,81,17,176
Apple,6.5,25.12,32.41,1627,659.5,81,23,227
Apple,6.37,15.06,39.42,3167,994.41,110,27,245
Apple,6.89,19.53,34.26,1619,793.92,99,17,170
Apple,6.22,25.35,32.31,2030,704.1,143,17,202
Apple,6.92,22.05,47.41,3277,672.74,150,22,175
Apple,6.38,18.91,43.89,2578,947.01,145,29,250
Apple,6.48,23.66,48.14,2683,823.35,109,27,177
Apple,5.85,22.25,36.73,2433,866.63,111,20,216
Apple,6.85,20.59,40.38,2882,678.23,133,29,203
Apple,5.91,23.73,36.83,1751,633.73,136,24,179
Apple,5.59,12.86,43.29,1881,792.78,134,30,182
Apple,6.57,25.49,30.1,2276,629.14,130,26,239
Apple,6.12,23.76,45.28,2932,660.55,133,16,164
Apple,6.34,19.39,38.86,2708,754.86,135,19,243
Apple,6.89,24.87,48.07,2702,835.5,82,19,189
Apple,5.73,22.29,43.11,2173,743.38,88,23,191
Apple,5.84,25.99,38.19,2241,983.11,90,26,208
Apple,5.77,13.61,47.19,1621,772.12,126,24,164
Apple,6.16,14.32,38.68,1519,775.26,148,29,182
Apple,6.71,16.11,45.52,2675,873.32,86,17,219
Apple,5.77,25.01,32.02,3266,693.39,92,28,250
Apple,5.56,11.38,36.05,2274,980.65,106,30,193
Apple,5.57,17.2,38.15,2216,615.18,95,29,220
Apple,6.62,13.23,42.55,2489,806.39,83,20,241
Apple,6.75,16.25,35.82,2160,747.15,81,16,154
Apple,6.78,14.5,44.0,2442,802.54,100,17,235
Apple,6.72,20.76,31.63,2270,802.49,134,30,181
Apple,6.38,13.08,48.42,1510,758.51,116,26,211
Apple,5.5,14.13,37.26,1500,635.11,89,24,152
Apple,6.87,21.12,38.69,2367,750.53,121,24,191
Apple,6.04,21.3,47.9,2240,835.33,87,21,228
Apple,5.57,24.74,38.17,1549,938.96,107,19,189
Apple,6.15,20.65,35.01,3160,600.59,129,21,195
Apple,6.1,11.37,43.04,2335,843.08,143,23,245
Apple,6.47,16.68,43.31,2885,625.36,82,28,239
Apple,6.83,18.41,34.46,2884,866.03,130,29,179
Apple,6.87,17.38,45.14,3180,995.92,132,22,199
Apple,6.93,13.74,32.19,2985,868.91,126,25,231
Apple,6.45,23.14,31.99,1583,876.14,104,21,156
Apple,6.87,22.69,37.1,3091,893.4,87,21,193
Apple,6.91,25.68,35.89,1899,666.5,87,23,224
Apple,6.48,19.37,47.63,1561,884.13,112,25,243
Apple,6.43,12.67,44.04,2311,702.84,126,25,167
Apple,6.86,17.32,40.38,1743,761.66,84,26,184
Apple,6.84,20.68,46.38,2841,935.28,142,29,212
Apple,6.45,14.85,35.06,2177,930.24,111,25,159
Apple,6.09,17.7,33.09,3203,805.01,87,18,191
Apple,6.48,12.24,33.56,1902,661.1,112,30,176
Apple,6.53,25.71,43.98,2301,985.9,123,21,214
Apple,6.33,21.78,44.21,2079,700.97,115,23,202
Apple,6.81,18.48,32.98,2633,797.43,102,21,180
Apple,6.29,11.42,35.41,2769,971.29,124,19,204
Apple,6.84,18.99,42.98,2839,666.99,113,24,197
Apple,6.37,26.4,32.99,2267,820.74,105,25,161
Apple,6.88,16.01,44.59,2360,844.21,102,15,226
Apple,6.0,17.44,33.17,2318,926.68,83,25,220
Apple,6.5,19.36,46.28,3052,737.6,133,25,194
Apple,5.8,26.89,37.59,2884,836.95,82,17,247
Apple,5.71,13.45,35.84,1546,753.08,138,24,193
Apple,6.57,15.37,34.4,2097,947.65,133,18,242
Apple,6.53,20.67,40.04,2411,645.64,148,23,177
Apple,5.58,15.08,39.73,1847,609.55,90,22,172
Apple,6.42,18.02,30.78,3105,676.28,129,21,239
Apple,6.24,22.56,42.85,2316,903.62,130,18,186
Apple,6.9,12.47,46.14,1892,852.39,132,28,231
Apple,5.63,12.55,34.43,2708,783.0,111,26,222
Apple,5.58,20.65,39.96,3218,853.06,139,30,238
Apple,6.78,13.53,32.04,2657,972.45,128,26,153
Apple,5.67,21.36,42.34,3076,617.08,112,23,186
Apple,5.81,26.62,39.87,1611,636.04,106,25,183
Apple,5.88,20.22,44.03,1496,601.71,94,24,235
Apple,6.86,13.71,41.64,1962,771.86,97,20,220
Apple,6.74,18.54,36.34,1899,943.64,147,15,195
Apple,6.62,15.05,31.08,2244,679.73,150,22,150
Apple,6.53,17.92,33.33,1464,723.91,123,18,154
Apple,5.92,26.09,34.95,1673,922.92,109,15,198
Apple,7.0,21.3,34.85,2501,672.45,130,27,180
Apple,5.91,22.84,41.02,3018,817.82,144,18,221
Apple,6.8,24.66,40.5,2474,780.95,150,26,221
Apple,6.85,15.55,47.01,2369,712.71,82,25,199
Apple,6.92,26.03,30.92,1410,615.53,150,16,158
Apple,6.7,19.13,31.47,2007,867.27,108,19,170
Apple,5.82,13.15,40.6,2715,725.94,123,15,214
Apple,6.49,13.89,42.84,2784,894.85,125,30,224
Apple,6.0,13.79,42.43,2384,648.7,134,29,218
Apple,5.76,20.78,39.44,2086,846.77,102,16,224
Apple,6.88,19.82,35.28,3098,833.03,118,21,170
Apple,5.53,25.77,34.95,1872,762.06,104,22,209
Apple,5.9,23.83,42.66,1608,630.64,145,22,191
Apple,6.92,22.67,33.05,1752,929.32,98,28,237
Apple,6.75,16.77,32.43,2660,944.75,93,30,236
Apple,6.85,23.84,34.77,2226,609.79,91,26,172
Apple,5.69,24.44,41.37,1529,712.94,110,26,246
Apple,6.71,25.51,33.36,2822,889.59,148,22,241
Apple,5.77,11.78,31.0,2656,960.32,93,24,203
Apple,5.59,12.59,44.68,1821,897.08,141,20,209
Apple,5.72,12.95,42.16,1767,873.52,121,21,162
Apple,5.62,23.03,35.75,2345,879.73,142,22,201
Apple,5.85,23.0,33.92,1765,817.18,125,16,167
Apple,5.88,26.26,32.27,3291,939.94,98,23,212
Apple,6.84,11.44,42.84,1493,992.55,141,15,235
Apple,6.2,16.49,41.16,3161,927.21,115,24,203
Apple,6.43,10.81,49.49,2309,619.89,127,20,153
Apple,5.55,16.83,48.4,2871,872.85,131,19,211
Apple,6.77,19.11,34.03,2123,727.44,145,19,158
Apple,5.74,12.07,45.0,2210,606.3,96,17,161
Apple,5.78,15.24,31.19,2184,701.23,100,28,187
Apple,6.08,19.89,44.41,2677,886.13,139,23,203
Apple,6.81,24.32,30.01,2770,758.84,121,21,195
Apple,6.69,24.61,45.87,2616,907.72,105,26,185
Apple,6.55,18.78,34.72,3060,777.03,110,17,195
Apple,6.9,26.41,31.65,2827,670.26,104,20,232
Apple,6.43,21.94,48.98,2198,618.9,118,21,222
Apple,6.87,24.66,39.68,2001,728.41,131,15,206
Apple,6.98,17.09,34.81,1554,937.27,105,27,217
Apple,5.92,25.95,34.72,3240,867.22,87,30,199
Apple,6.89,18.38,36.23,2756,939.43,135,25,238
Apple,6.74,12.34,46.07,1843,828.82,138,23,209
Apple,6.61,10.42,45.95,1899,869.96,127,26,245
Apple,6.47,11.23,31.61,2773,612.88,119,24,246
Apple,5.65,15.86,45.95,1692,645.81,124,23,248
Apple,5.6,10.18,39.57,2596,673.67,119,28,152
Apple,6.28,15.79,47.94,1407,874.03,126,25,226
Apple,5.66,26.69,38.04,1430,903.97,113,25,192
Apple,5.63,24.02,40.42,2959,754.2,135,18,221
Apple,6.68,24.44,42.66,2057,818.15,129,18,242
Apple,5.94,21.34,30.35,1712,612.08,103,17,176
Apple,5.9,12.97,46.58,3022,695.22,88,30,219
Apple,5.73,22.28,30.55,2886,873.62,121,15,243
Apple,6.32,22.78,31.88,2987,922.81,113,21,201
Apple,6.84,24.62,38.62,2353,635.37,97,28,158
Apple,6.77,21.03,30.76,2455,810.17,86,28,206
Apple,6.45,16.12,43.88,2908,800.74,133,15,197
Apple,6.88,17.41,43.33,1924,604.67,98,30,244
Apple,5.99,23.72,33.32,3130,707.01,146,29,200
Apple,6.25,17.41,40.64,2085,665.6,124,29,167
Apple,6.65,10.73,39.55,1537,861.07,81,24,155
Apple,6.57,12.34,37.19,3126,980.48,103,30,186
Apple,6.98,16.96,44.19,1642,983.47,132,26,220
Apple,6.94,18.78,44.44,2244,648.47,131,24,171
Apple,6.54,24.04,34.37,1738,811.24,130,19,206
Apricot,7.02,14.25,50.63,157,924.17,118,24,165
Apricot,7.33,27.64,32.8,882,803.44,93,50,112
Apricot,6.75,22.31,33.45,138,996.04,124,69,80
Apricot,6.65,23.46,61.07,532,1093.1,149,48,200
Apricot,7.14,28.99,49.56,102,793.05,87,52,150
Apricot,5.81,13.98,44.2,298,1147.56,114,72,224
Apricot,5.78,29.98,48.75,143,679.33,147,41,123
Apricot,6.43,22.6,71.87,223,1128.26,142,64,186
Apricot,7.45,22.56,62.72,489,1077.65,123,87,248
Apricot,5.84,28.0,39.9,100,777.58,149,48,109
Apricot,7.27,17.39,30.18,875,829.27,142,46,122
Apricot,6.17,27.94,52.1,173,873.1,81,40,217
Apricot,6.77,12.07,42.7,321,879.35,116,26,179
Apricot,7.1,17.98,74.57,918,1181.15,142,87,244
Apricot,5.63,12.91,49.64,605,629.57,111,66,194
Apricot,5.65,19.01,42.62,894,1005.56,137,46,225
Apricot,6.3,23.3,51.2,803,954.19,150,53,173
Apricot,5.7,23.98,75.0,238,754.32,117,57,125
Apricot,7.05,25.23,49.02,485,1091.57,86,67,83
Apricot,7.16,28.5,30.12,972,937.18,135,51,116
Apricot,5.98,26.64,31.47,715,901.91,128,89,181
Apricot,7.5,12.56,61.09,830,859.63,111,26,182
Apricot,7.26,25.49,45.84,969,728.31,137,61,214
Apricot,6.74,26.28,54.11,848,804.08,147,58,100
Apricot,5.61,21.05,66.52,670,703.98,100,62,161
Apricot,7.08,27.41,62.9,470,1030.36,136,38,95
Apricot,6.35,23.48,70.62,279,780.98,106,49,88
Apricot,6.39,20.87,52.38,262,787.43,106,87,130
Apricot,6.76,25.32,58.83,800,1179.98,114,88,122
Apricot,5.82,13.26,37.96,821,1080.66,125,36,139
Apricot,7.4,29.03,30.85,898,822.1,128,33,233
Apricot,6.16,21.86,56.55,755,952.97,83,80,146
Apricot,6.95,14.81,67.35,92,881.25,103,95,104
Apricot,6.21,27.66,54.68,604,899.5,142,28,122
Apricot,7.2,14.41,70.57,917,1012.9,81,51,86
Apricot,7.19,18.96,76.45,162,840.24,94,77,135
Apricot,5.58,27.12,41.79,749,706.16,146,96,81
Apricot,6.41,15.99,36.99,678,781.24,135,39,234
Apricot,6.47,14.46,54.0,82,1006.79,89,64,197
Apricot,7.17,19.57,51.24,914,1066.15,90,37,84
Apricot,5.87,26.25,77.0,68,707.13,91,86,103
Apricot,7.14,18.45,68.3,406,737.82,104,67,138
Apricot,6.47,16.52,54.86,516,1081.78,89,96,92
Apricot,6.36,14.15,44.35,565,829.19,86,97,118
Apricot,6.68,15.16,36.45,201,1086.06,105,52,104
Apricot,5.88,27.35,60.66,431,891.76,82,63,104
Apricot,6.64,27.34,38.38,423,609.45,142,62,204
Apricot,6.78,13.6,72.56,541,806.5,129,64,106
Apricot,6.24,25.04,37.91,370,980.75,129,33,219
Apricot,7.43,12.57,38.92,224,763.89,124,80,189
Apricot,5.81,18.96,77.27,425,869.92,135,63,93
Apricot,6.43,17.01,54.48,350,1146.17,123,49,237
Apricot,5.8,14.38,73.44,863,1004.65,97,23,171
Apricot,5.85,24.8,65.86,64,947.8,130,66,116
Apricot,6.28,25.74,54.01,218,804.0,96,100,92
Apricot,5.84,12.62,40.23,206,1156.7,84,45,81
Apricot,5.97,17.61,46.44,81,1049.52,99,43,87
Apricot,5.78,17.83,79.2,501,691.39,85,68,118
Apricot,7.08,20.3,30.71,386,684.42,109,22,165
Apricot,5.7,28.59,66.88,455,824.47,115,95,214
Apricot,7.03,22.99,46.37,294,612.34,81,47,248
Apricot,5.9,25.54,30.94,688,611.48,119,77,174
Apricot,6.18,14.07,68.97,622,692.22,92,32,92
Apricot,6.6,22.86,74.25,815,1005.75,88,55,177
Apricot,6.76,15.88,56.92,602,858.83,134,34,210
Apricot,6.64,20.43,48.2,711,686.15,123,34,154
Apricot,7.23,27.34,43.47,815,745.4,88,35,237
Apricot,6.68,14.78,42.79,567,923.5,100,29,231
Apricot,7.39,19.87,72.71,742,1056.71,148,45,243
Apricot,6.89,12.46,78.74,256,1007.69,84,40,199
Apricot,6.96,26.41,55.27,793,1099.3,118,53,179
Apricot,6.34,17.47,44.51,524,639.99,144,24,229
Apricot,7.44,24.93,78.07,849,1096.49,142,45,247
Apricot,7.45,14.76,76.11,325,846.61,128,49,140
Apricot,7.27,29.67,37.01,403,623.0,130,88,122
Apricot,5.95,19.15,50.12,566,668.64,90,50,98
Apricot,7.06,25.45,47.53,750,621.92,107,23,150
Apricot,7.04,27.38,76.65,853,755.37,88,96,164
Apricot,5.62,22.19,57.17,87,880.9,148,72,119
Apricot,7.19,26.51,31.7,813,1056.74,114,76,105
Apricot,6.27,13.37,48.08,415,1141.8,128,80,233
Apricot,5.69,13.11,74.14,587,824.86,124,97,89
Apricot,7.2,16.67,66.3,76,986.59,91,26,180
Apricot,5.9,28.64,71.36,241,1115.22,106,96,131
