Crop,pH,Temperature (°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Moringa (Sitalchini),6.09,32.49,45.26,1190,630.1,109,41,104
Moringa (Sitalchini),6.79,31.6,58.12,1259,553.74,108,50,120
Moringa (Sitalchini),6.78,34.38,55.85,937,735.82,111,32,90
Moringa (Sitalchini),6.99,28.66,44.1,4,631.02,92,36,91
Moringa (Sitalchini),6.14,30.43,52.43,1261,510.52,104,45,114
Moringa (Sitalchini),6.49,27.05,55.02,126,605.78,115,36,115
Moringa (Sitalchini),6.69,32.68,52.22,1210,673.84,87,32,94
Moringa (Sitalchini),6.13,25.52,59.04,893,520.09,82,36,100
Moringa (Sitalchini),6.82,26.34,44.48,653,783.7,91,33,113
Moringa (Sitalchini),6.6,30.54,49.93,952,739.81,120,40,115
Moringa (Sitalchini),6.78,33.19,44.18,915,650.15,97,39,98
Moringa (Sitalchini),6.1,27.75,49.51,900,645.61,93,46,106
Moringa (Sitalchini),6.79,25.24,52.29,952,642.5,81,30,116
Moringa (Sitalchini),6.83,26.25,50.49,1071,653.34,100,37,95
Moringa (Sitalchini),6.72,34.03,50.48,60,575.68,97,42,117
Moringa (Sitalchini),6.91,27.1,59.87,490,718.87,112,39,83
Moringa (Sitalchini),6.67,27.58,58.01,480,773.04,116,36,94
Moringa (Sitalchini),6.8,32.53,41.18,241,745.96,95,46,87
Moringa (Sitalchini),6.66,27.32,58.51,60,598.5,113,39,102
Moringa (Sitalchini),6.63,30.2,42.41,146,628.55,110,43,117
Moringa (Sitalchini),6.15,33.12,40.94,666,764.17,99,36,109
Moringa (Sitalchini),6.03,34.92,43.09,820,744.54,107,30,109
Moringa (Sitalchini),6.0,30.47,52.06,786,665.54,82,32,80
Moringa (Sitalchini),6.32,29.42,53.65,714,671.01,100,33,107
Moringa (Sitalchini),6.7,26.31,52.01,657,522.42,84,50,95
Moringa (Sitalchini),6.2,28.7,46.08,370,596.75,107,37,82
Moringa (Sitalchini),6.98,29.12,55.77,661,728.16,89,42,115
Moringa (Sitalchini),6.63,27.68,56.09,631,563.78,102,47,113
Moringa (Sitalchini),6.43,26.15,46.2,717,694.46,120,32,97
Moringa (Sitalchini),6.22,28.95,55.11,1403,743.31,87,36,91
Moringa (Sitalchini),6.48,25.86,58.29,231,622.31,120,37,97
Moringa (Sitalchini),6.05,31.84,51.65,635,764.01,80,50,118
Moringa (Sitalchini),6.32,29.93,58.47,134,649.16,110,35,101
Moringa (Sitalchini),6.13,32.94,42.05,742,531.35,107,44,110
Moringa (Sitalchini),6.48,34.33,52.07,1117,737.04,120,32,96
Moringa (Sitalchini),6.45,25.86,41.96,929,695.01,117,33,112
Moringa (Sitalchini),6.16,29.12,50.21,659,693.89,116,34,92
Moringa (Sitalchini),6.14,33.78,40.24,90,789.41,96,40,103
Moringa (Sitalchini),6.37,31.61,55.8,431,550.3,90,40,118
Moringa (Sitalchini),6.45,32.99,56.49,783,623.65,116,31,91
Moringa (Sitalchini),6.03,25.62,59.26,103,572.97,92,34,88
Moringa (Sitalchini),6.54,25.21,54.96,634,679.52,118,32,113
Moringa (Sitalchini),6.96,26.55,51.63,911,774.66,120,39,106
Moringa (Sitalchini),6.09,27.95,46.67,131,618.61,84,33,88
Moringa (Sitalchini),6.28,26.07,45.05,865,666.84,120,38,114
Moringa (Sitalchini),6.01,25.04,45.36,997,526.41,95,34,102
Moringa (Sitalchini),6.95,28.2,48.74,1092,527.48,101,31,118
Moringa (Sitalchini),6.47,28.96,48.88,890,665.15,92,30,90
Moringa (Sitalchini),6.65,26.68,48.62,913,779.99,114,32,91
Moringa (Sitalchini),6.94,25.69,42.06,682,610.04,95,38,116
Moringa (Sitalchini),6.61,26.87,53.14,1489,588.0,86,33,99
Moringa (Sitalchini),6.67,28.07,47.44,1120,594.48,102,32,83
Moringa (Sitalchini),6.23,27.93,46.25,826,671.78,91,49,94
Moringa (Sitalchini),6.68,25.16,40.87,302,587.42,105,42,108
Moringa (Sitalchini),6.42,31.02,48.63,155,615.62,115,48,117
Moringa (Sitalchini),6.12,25.12,54.27,637,649.26,100,40,91
Moringa (Sitalchini),6.46,25.79,45.38,314,624.87,87,42,109
Moringa (Sitalchini),6.47,32.4,42.17,763,589.03,107,42,103
Moringa (Sitalchini),6.78,34.57,49.24,296,577.61,112,44,100
Moringa (Sitalchini),6.09,32.18,45.67,871,711.11,120,47,85
Moringa (Sitalchini),6.79,28.75,40.04,469,537.46,89,33,113
Moringa (Sitalchini),6.52,30.51,55.3,863,587.84,106,35,80
Moringa (Sitalchini),6.04,34.9,57.83,1253,586.87,90,42,97
Moringa (Sitalchini),6.02,26.14,49.3,586,605.8,110,42,84
Moringa (Sitalchini),6.45,25.62,48.89,39,682.71,114,32,100
Moringa (Sitalchini),6.37,26.23,45.05,352,526.8,107,41,81
Moringa (Sitalchini),6.13,25.22,49.99,331,679.81,91,34,100
Moringa (Sitalchini),6.26,33.88,46.43,1466,703.47,102,50,107
Moringa (Sitalchini),6.71,27.87,57.61,1461,645.36,99,49,106
Moringa (Sitalchini),6.12,34.55,44.89,837,580.1,91,48,91
Moringa (Sitalchini),6.11,30.75,48.18,1088,609.42,99,48,117
Moringa (Sitalchini),6.6,26.92,45.18,374,638.41,84,40,87
Moringa (Sitalchini),6.0,33.86,55.92,624,630.14,113,42,85
Moringa (Sitalchini),6.77,33.21,48.05,1346,505.58,88,45,85
Moringa (Sitalchini),6.64,25.89,53.8,1339,753.1,104,33,118
Moringa (Sitalchini),6.55,28.05,42.87,14,708.32,115,38,109
Moringa (Sitalchini),6.57,25.07,50.1,567,534.3,103,42,91
Moringa (Sitalchini),6.65,29.1,48.37,909,560.46,90,50,106
Moringa (Sitalchini),6.04,27.35,47.6,1082,697.06,84,32,114
Moringa (Sitalchini),6.1,26.67,57.57,1168,570.64,103,50,116
Moringa (Sitalchini),6.73,33.4,56.46,253,703.58,103,32,108
Moringa (Sitalchini),6.9,33.44,49.74,1389,556.45,90,41,108
Moringa (Sitalchini),7.0,28.71,48.77,1089,752.98,95,45,119
Moringa (Sitalchini),6.89,30.11,43.16,1187,667.84,92,41,104
Moringa (Sitalchini),6.52,34.49,54.43,512,614.42,95,36,96
Moringa (Sitalchini),6.41,30.37,47.21,1334,734.99,116,41,83
Moringa (Sitalchini),6.54,29.18,44.74,973,735.19,86,45,117
Moringa (Sitalchini),6.54,25.5,56.02,350,502.84,119,50,107
Moringa (Sitalchini),6.18,26.78,44.76,1249,702.45,95,30,108
Moringa (Sitalchini),6.97,33.73,47.92,704,736.59,88,44,102
Moringa (Sitalchini),6.95,33.98,42.29,260,619.83,108,38,108
Moringa (Sitalchini),6.84,29.83,59.58,261,766.2,98,48,112
Moringa (Sitalchini),6.93,28.39,44.55,131,529.55,81,42,106
Moringa (Sitalchini),6.32,29.76,43.12,1497,727.25,118,47,87
Moringa (Sitalchini),6.51,31.21,45.96,1077,796.34,103,32,90
Moringa (Sitalchini),6.09,29.0,58.85,1010,735.75,102,40,97
Moringa (Sitalchini),6.45,31.8,42.06,1398,742.18,101,32,112
Moringa (Sitalchini),6.28,34.51,43.32,1350,631.49,116,43,108
Moringa (Sitalchini),6.18,34.94,56.4,1115,701.06,118,32,81
Moringa (Sitalchini),6.89,26.14,52.68,925,554.31,115,30,117
Moringa (Sitalchini),6.7,33.5,59.27,214,533.56,97,39,91
Moringa (Sitalchini),6.46,26.16,48.7,910,676.42,113,50,98
Moringa (Sitalchini),6.65,32.81,49.66,1438,678.54,115,50,117
Moringa (Sitalchini),6.74,30.97,50.1,9,757.41,103,40,104
Moringa (Sitalchini),6.59,31.37,45.13,109,591.56,97,43,90
Moringa (Sitalchini),6.84,27.34,52.12,700,735.77,80,43,90
Moringa (Sitalchini),6.1,30.96,44.72,1405,619.51,112,34,87
Moringa (Sitalchini),6.99,30.6,55.2,309,583.81,89,37,98
Moringa (Sitalchini),6.49,25.0,42.95,1068,635.04,106,30,120
Moringa (Sitalchini),6.5,34.35,44.06,576,658.84,120,35,81
Moringa (Sitalchini),6.89,32.71,42.23,978,604.33,92,46,118
Moringa (Sitalchini),6.02,29.37,45.32,1426,528.58,108,35,118
Moringa (Sitalchini),6.25,29.51,50.3,849,787.3,89,41,109
Moringa (Sitalchini),6.88,27.42,56.89,399,766.58,105,32,107
Moringa (Sitalchini),6.56,28.22,50.75,713,767.88,100,42,98
Moringa (Sitalchini),6.32,29.39,48.29,635,634.16,111,43,111
Moringa (Sitalchini),6.48,28.45,40.86,752,758.76,101,50,117
Moringa (Sitalchini),6.46,34.68,42.69,1401,718.63,86,38,94
Moringa (Sitalchini),6.39,26.42,57.21,1308,510.89,106,49,98
Moringa (Sitalchini),6.76,30.75,45.11,576,764.75,86,46,116
Moringa (Sitalchini),6.41,26.1,56.18,1072,573.22,86,40,103
Moringa (Sitalchini),6.63,33.09,41.35,1277,502.71,83,47,114
Moringa (Sitalchini),6.22,26.15,49.57,39,660.54,93,50,81
Moringa (Sitalchini),6.14,26.56,49.95,101,727.88,96,33,119
Moringa (Sitalchini),6.94,29.8,44.27,343,790.07,108,45,106
Moringa (Sitalchini),6.64,28.18,57.47,896,519.5,117,41,101
Moringa (Sitalchini),6.93,33.15,55.57,121,629.94,110,50,107
Moringa (Sitalchini),6.28,27.24,56.71,777,656.36,93,46,81
Moringa (Sitalchini),6.97,28.15,45.32,849,687.78,91,35,110
