Crop,pH,Temperature (°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Mountain Apple (Rose Apple),6.95,28.16,64.14,79,1286.89,107,54,55
Mountain Apple (Rose Apple),6.6,28.89,64.33,325,1362.94,98,46,113
Mountain Apple (Rose Apple),6.59,20.19,59.47,236,1469.17,112,26,93
Mountain Apple (Rose Apple),5.88,20.88,52.8,673,1265.24,89,20,63
Mountain Apple (Rose Apple),6.16,26.72,58.04,178,1382.95,112,57,94
Mountain Apple (Rose Apple),6.45,21.39,50.94,1247,1300.55,118,37,98
Mountain Apple (Rose Apple),6.67,28.21,54.51,1288,1218.98,105,31,73
Mountain Apple (Rose Apple),5.79,23.64,61.02,752,1143.79,119,32,68
Mountain Apple (Rose Apple),6.77,20.1,57.88,737,1255.94,97,43,77
Mountain Apple (Rose Apple),6.12,26.84,56.97,899,1263.91,112,34,61
Mountain Apple (Rose Apple),5.68,21.11,64.33,393,1161.77,105,33,59
Mountain Apple (Rose Apple),6.26,23.32,60.56,271,1050.06,90,37,64
Mountain Apple (Rose Apple),6.35,20.63,58.46,1462,1149.83,81,30,76
Mountain Apple (Rose Apple),6.24,29.04,52.26,1109,1343.11,85,34,113
Mountain Apple (Rose Apple),6.75,25.42,69.7,1447,1363.58,83,58,84
Mountain Apple (Rose Apple),6.17,25.46,68.5,1209,1076.93,111,43,102
Mountain Apple (Rose Apple),5.5,20.53,64.85,603,1208.5,93,25,51
Mountain Apple (Rose Apple),6.27,26.37,52.1,262,1412.54,109,29,119
Mountain Apple (Rose Apple),5.61,22.84,59.88,1102,1342.59,102,47,106
Mountain Apple (Rose Apple),5.53,20.29,55.01,1313,1336.86,103,30,114
Mountain Apple (Rose Apple),6.93,24.13,50.46,1387,1495.98,113,42,76
Mountain Apple (Rose Apple),6.05,20.81,62.68,174,1263.12,107,49,57
Mountain Apple (Rose Apple),6.74,27.83,67.61,654,1428.3,112,23,67
Mountain Apple (Rose Apple),5.81,25.82,63.96,1300,1188.12,93,27,98
Mountain Apple (Rose Apple),5.94,29.65,69.3,276,1486.87,96,21,69
Mountain Apple (Rose Apple),6.01,22.43,69.23,1107,1448.28,103,47,68
Mountain Apple (Rose Apple),6.97,22.39,64.28,374,1321.7,99,44,90
Mountain Apple (Rose Apple),5.65,29.64,65.58,221,1336.95,84,54,56
Mountain Apple (Rose Apple),5.79,28.94,59.39,973,1083.56,115,42,58
Mountain Apple (Rose Apple),6.79,25.52,55.48,423,1278.86,105,46,69
Mountain Apple (Rose Apple),5.75,24.92,58.78,1125,1212.65,89,37,67
Mountain Apple (Rose Apple),6.14,28.7,54.2,208,1049.32,88,51,77
Mountain Apple (Rose Apple),6.48,20.51,51.41,1469,1197.65,108,45,91
Mountain Apple (Rose Apple),6.91,20.68,59.71,562,1092.89,96,59,69
Mountain Apple (Rose Apple),6.23,26.55,69.16,994,1003.36,84,50,87
Mountain Apple (Rose Apple),5.84,28.93,53.2,1194,1098.49,106,49,108
Mountain Apple (Rose Apple),6.85,26.9,55.03,1134,1337.07,98,41,83
Mountain Apple (Rose Apple),5.92,29.61,69.67,1490,1002.92,119,31,74
Mountain Apple (Rose Apple),6.17,21.64,63.75,685,1020.43,105,34,51
Mountain Apple (Rose Apple),6.02,25.65,67.15,1299,1083.25,111,26,100
Mountain Apple (Rose Apple),6.17,21.47,59.21,273,1351.71,82,48,103
Mountain Apple (Rose Apple),6.05,20.36,55.54,1037,1266.84,90,54,90
Mountain Apple (Rose Apple),5.82,20.43,50.1,718,1362.8,116,34,61
Mountain Apple (Rose Apple),6.85,26.39,59.22,68,1449.56,106,60,89
Mountain Apple (Rose Apple),6.39,27.42,58.79,1326,1467.86,93,34,115
Mountain Apple (Rose Apple),5.58,22.39,60.67,60,1268.94,117,47,109
Mountain Apple (Rose Apple),6.91,21.67,55.31,850,1442.02,100,55,82
Mountain Apple (Rose Apple),6.12,24.44,64.84,1299,1018.95,96,57,58
Mountain Apple (Rose Apple),5.86,22.61,52.15,739,1102.66,120,32,87
Mountain Apple (Rose Apple),6.57,21.81,69.34,1197,1325.98,94,48,103
Mountain Apple (Rose Apple),6.17,29.66,68.98,729,1409.28,105,23,67
Mountain Apple (Rose Apple),5.9,23.37,50.59,1237,1206.68,107,36,114
Mountain Apple (Rose Apple),6.61,21.97,68.11,1070,1006.98,96,23,78
Mountain Apple (Rose Apple),5.72,20.18,52.47,107,1121.19,92,41,111
Mountain Apple (Rose Apple),5.91,29.45,62.66,490,1267.32,114,30,91
Mountain Apple (Rose Apple),6.05,28.88,51.24,419,1320.43,100,52,97
Mountain Apple (Rose Apple),6.5,22.3,58.32,1364,1219.82,105,41,95
Mountain Apple (Rose Apple),6.78,24.57,54.08,1049,1142.52,104,38,111
Mountain Apple (Rose Apple),5.83,28.16,62.48,1249,1466.52,91,47,117
Mountain Apple (Rose Apple),6.72,24.32,52.22,199,1393.07,103,60,114
Mountain Apple (Rose Apple),6.89,27.62,68.76,140,1154.11,96,57,68
Mountain Apple (Rose Apple),5.6,25.22,67.56,896,1079.39,100,46,85
Mountain Apple (Rose Apple),6.42,24.67,61.09,154,1288.73,84,52,119
Mountain Apple (Rose Apple),5.86,28.49,66.25,1186,1445.24,106,22,64
Mountain Apple (Rose Apple),5.54,21.36,50.09,288,1026.53,91,52,91
Mountain Apple (Rose Apple),6.01,21.09,59.94,1463,1240.68,100,38,50
Mountain Apple (Rose Apple),5.88,25.31,55.64,657,1283.98,108,28,105
Mountain Apple (Rose Apple),5.99,25.61,53.33,736,1304.72,112,48,96
Mountain Apple (Rose Apple),6.51,27.98,54.25,1202,1115.2,119,33,64
Mountain Apple (Rose Apple),6.42,26.73,55.74,262,1382.37,89,42,61
Mountain Apple (Rose Apple),6.14,23.27,63.9,865,1285.04,96,51,77
Mountain Apple (Rose Apple),5.64,27.84,64.26,528,1121.74,108,34,51
Mountain Apple (Rose Apple),6.39,29.27,60.93,1093,1076.73,88,24,52
Mountain Apple (Rose Apple),6.66,22.04,68.04,241,1304.94,86,27,107
Mountain Apple (Rose Apple),6.53,28.16,59.39,683,1432.06,97,30,89
Mountain Apple (Rose Apple),6.94,29.97,59.91,256,1027.17,103,48,89
Mountain Apple (Rose Apple),6.53,23.58,69.08,240,1121.77,100,53,110
Mountain Apple (Rose Apple),5.57,22.8,62.77,127,1452.03,100,45,89
Mountain Apple (Rose Apple),6.63,20.91,64.49,984,1371.5,116,28,115
Mountain Apple (Rose Apple),6.24,26.98,68.31,954,1493.81,118,36,61
Mountain Apple (Rose Apple),6.97,29.71,61.19,348,1264.4,101,53,77
Mountain Apple (Rose Apple),6.16,29.37,64.51,1486,1406.26,87,37,107
Mountain Apple (Rose Apple),5.59,23.7,55.36,1322,1420.42,80,59,78
Mountain Apple (Rose Apple),6.13,27.86,59.71,1488,1303.85,87,45,63
Mountain Apple (Rose Apple),6.79,24.36,66.95,993,1491.54,98,31,80
Mountain Apple (Rose Apple),5.73,22.98,54.71,848,1359.84,89,28,94
Mountain Apple (Rose Apple),6.28,28.29,60.2,1307,1417.83,97,28,120
Mountain Apple (Rose Apple),5.51,27.88,62.43,572,1438.24,95,55,108
Mountain Apple (Rose Apple),5.54,24.54,68.63,598,1210.0,110,37,56
Mountain Apple (Rose Apple),6.56,21.06,60.5,948,1028.47,120,37,96
Mountain Apple (Rose Apple),6.59,25.0,66.66,1374,1013.45,112,30,75
Mountain Apple (Rose Apple),6.73,21.73,60.83,248,1256.7,87,41,92
Mountain Apple (Rose Apple),6.37,21.56,69.14,322,1220.65,82,52,118
Mountain Apple (Rose Apple),6.74,22.52,63.39,280,1211.17,117,25,57
Mountain Apple (Rose Apple),6.95,23.4,51.39,867,1332.23,87,54,78
Mountain Apple (Rose Apple),6.74,25.57,61.61,216,1138.15,95,54,86
Mountain Apple (Rose Apple),6.69,21.58,69.6,341,1379.47,100,53,103
Mountain Apple (Rose Apple),5.85,27.42,62.98,1273,1008.83,107,24,119
Mountain Apple (Rose Apple),6.27,21.44,59.13,999,1160.79,114,48,76
Mountain Apple (Rose Apple),5.9,23.41,54.97,429,1049.41,90,32,115
Mountain Apple (Rose Apple),6.06,21.46,50.97,1283,1269.56,113,28,73
Mountain Apple (Rose Apple),5.63,29.49,63.22,1001,1424.45,94,53,67
Mountain Apple (Rose Apple),6.92,24.47,57.3,1401,1489.61,92,38,78
Mountain Apple (Rose Apple),6.95,20.59,54.62,398,1223.01,120,44,85
Mountain Apple (Rose Apple),6.25,25.74,54.74,1006,1445.95,107,53,104
Mountain Apple (Rose Apple),6.8,28.79,69.89,1364,1156.76,91,48,118
Mountain Apple (Rose Apple),6.6,20.71,63.01,453,1130.29,103,54,90
Mountain Apple (Rose Apple),6.46,24.84,58.61,1206,1248.01,110,31,70
Mountain Apple (Rose Apple),5.57,25.88,57.72,675,1451.02,114,47,82
Mountain Apple (Rose Apple),5.84,25.42,63.91,1332,1147.45,108,41,108
Mountain Apple (Rose Apple),6.15,21.98,55.51,1032,1220.97,96,53,81
Mountain Apple (Rose Apple),5.73,26.28,63.72,391,1046.47,96,59,89
Mountain Apple (Rose Apple),6.33,22.12,69.65,111,1014.58,80,31,109
Mountain Apple (Rose Apple),5.99,22.46,51.81,838,1009.08,81,55,104
Mountain Apple (Rose Apple),5.64,20.64,64.33,669,1058.58,87,48,53
Mountain Apple (Rose Apple),5.57,29.12,54.49,469,1074.84,98,36,112
Mountain Apple (Rose Apple),5.81,23.94,51.96,791,1226.2,94,43,82
Mountain Apple (Rose Apple),6.17,21.37,68.24,636,1401.5,103,60,64
Mountain Apple (Rose Apple),6.53,21.63,58.59,262,1410.17,106,46,89
Mountain Apple (Rose Apple),5.51,23.4,57.57,1476,1439.43,100,60,60
Mountain Apple (Rose Apple),6.09,24.02,60.73,1340,1340.82,90,49,55
Mountain Apple (Rose Apple),6.96,28.92,60.03,572,1087.8,106,25,114
Mountain Apple (Rose Apple),5.57,20.89,52.9,1481,1449.58,94,45,76
Mountain Apple (Rose Apple),6.06,23.58,67.99,435,1242.7,102,33,82
Mountain Apple (Rose Apple),5.63,26.89,61.37,1312,1241.59,103,23,100
Mountain Apple (Rose Apple),6.79,27.96,65.62,62,1021.97,114,58,89
Mountain Apple (Rose Apple),6.49,25.36,57.67,1212,1362.18,98,49,66
Mountain Apple (Rose Apple),6.2,23.65,66.46,314,1097.49,95,60,103
Mountain Apple (Rose Apple),6.34,22.42,59.94,1036,1308.96,93,59,116
Mountain Apple (Rose Apple),6.03,29.56,53.51,1472,1168.42,104,35,50
Mountain Apple (Rose Apple),6.15,20.4,61.12,815,1359.06,116,27,81
Mountain Apple (Rose Apple),6.14,22.49,63.1,445,1043.81,103,27,62
Mountain Apple (Rose Apple),5.9,26.94,61.77,1415,1140.63,103,46,106
Mountain Apple (Rose Apple),6.36,27.78,58.38,716,1201.34,101,34,96
Mountain Apple (Rose Apple),6.23,24.43,58.21,781,1264.84,108,37,95
Mountain Apple (Rose Apple),5.71,22.65,58.5,983,1207.79,90,59,50
Mountain Apple (Rose Apple),6.53,25.31,54.8,367,1218.76,105,36,103
Mountain Apple (Rose Apple),5.72,25.19,52.51,875,1378.94,88,21,78
Mountain Apple (Rose Apple),6.58,26.23,57.14,1087,1438.78,108,37,120
Mountain Apple (Rose Apple),6.55,26.34,68.61,697,1078.41,94,46,117
Mountain Apple (Rose Apple),6.64,22.87,53.25,1452,1383.68,118,32,59
Mountain Apple (Rose Apple),6.9,23.91,63.25,140,1323.99,83,34,57
Mountain Apple (Rose Apple),6.67,23.15,55.15,69,1151.2,80,33,56
Mountain Apple (Rose Apple),5.74,28.38,62.29,1094,1139.36,119,31,112
Mountain Apple (Rose Apple),5.74,29.42,63.16,377,1006.9,100,26,74
Mountain Apple (Rose Apple),6.31,28.62,53.43,974,1093.4,114,25,62
Mountain Apple (Rose Apple),6.37,28.41,51.76,201,1291.09,111,31,65
Mountain Apple (Rose Apple),6.17,29.24,63.27,901,1288.18,97,57,71
Mountain Apple (Rose Apple),5.56,23.54,61.17,244,1055.27,110,48,88
