Crop,pH,Temperature (Â°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Snake Gourd (Parwal),6.66,25.06,74.05,1207,607.69,100,38,78
Snake Gourd (Parwal),6.96,28.17,74.15,972,718.06,83,50,85
Snake Gourd (Parwal),6.67,28.12,66.73,1428,675.34,80,36,73
Snake Gourd (Parwal),6.69,29.18,70.7,1469,707.4,70,35,84
Snake Gourd (Parwal),6.29,30.41,69.77,419,769.75,80,36,89
Snake Gourd (Parwal),6.25,30.0,64.55,301,791.8,74,47,68
Snake Gourd (Parwal),6.99,28.42,79.4,1068,678.12,67,48,93
Snake Gourd (Parwal),6.12,29.59,77.87,1058,701.44,97,37,82
Snake Gourd (Parwal),6.33,34.87,77.4,1086,714.86,77,48,60
Snake Gourd (Parwal),6.79,30.1,76.87,1395,671.53,90,45,69
Snake Gourd (Parwal),6.4,34.14,65.97,692,688.43,88,42,97
Snake Gourd (Parwal),6.07,27.07,62.29,541,655.21,79,44,94
Snake Gourd (Parwal),6.48,27.57,63.85,277,796.39,83,31,100
Snake Gourd (Parwal),6.56,25.87,61.27,789,607.05,62,41,68
Snake Gourd (Parwal),6.74,26.71,72.55,208,747.99,63,43,64
Snake Gourd (Parwal),6.51,31.39,65.58,733,690.53,71,36,60
Snake Gourd (Parwal),6.31,34.73,78.02,700,648.13,68,43,68
Snake Gourd (Parwal),6.93,30.89,64.4,268,790.24,64,47,73
Snake Gourd (Parwal),6.37,26.09,61.24,163,744.85,90,32,92
Snake Gourd (Parwal),6.76,30.69,63.42,732,799.07,77,34,87
Snake Gourd (Parwal),6.33,31.06,71.78,1032,734.28,65,41,74
Snake Gourd (Parwal),6.08,32.56,77.58,889,665.78,84,34,69
Snake Gourd (Parwal),6.39,33.21,68.03,712,610.94,84,45,94
Snake Gourd (Parwal),6.04,25.09,76.87,1488,761.94,87,44,100
Snake Gourd (Parwal),6.23,29.84,73.06,1213,699.21,73,33,67
Snake Gourd (Parwal),6.67,32.2,71.54,1039,673.07,65,31,99
Snake Gourd (Parwal),6.91,33.97,67.28,1122,684.05,69,47,74
Snake Gourd (Parwal),6.78,27.47,76.14,104,682.48,87,35,91
Snake Gourd (Parwal),6.94,28.4,78.32,1291,793.31,84,35,89
Snake Gourd (Parwal),6.92,31.72,64.5,916,770.45,73,46,82
Snake Gourd (Parwal),6.41,30.55,78.72,211,736.13,89,39,71
Snake Gourd (Parwal),6.45,29.15,62.61,304,761.02,76,46,72
Snake Gourd (Parwal),6.79,32.62,74.97,922,720.79,67,46,66
Snake Gourd (Parwal),6.17,33.71,64.02,915,729.76,60,30,87
Snake Gourd (Parwal),6.88,26.7,74.6,1397,659.72,97,30,70
Snake Gourd (Parwal),6.96,34.97,71.68,732,761.82,88,35,65
Snake Gourd (Parwal),6.97,34.71,61.83,1445,677.85,83,36,73
Snake Gourd (Parwal),6.16,28.68,71.5,1143,634.01,92,35,70
Snake Gourd (Parwal),6.49,30.22,67.13,789,717.76,87,50,63
Snake Gourd (Parwal),6.26,30.65,63.16,161,607.76,100,33,82
Snake Gourd (Parwal),6.41,32.89,71.94,1081,799.9,76,44,92
Snake Gourd (Parwal),6.81,32.23,71.61,718,629.29,65,34,89
Snake Gourd (Parwal),6.37,34.55,64.89,889,631.84,66,42,93
Snake Gourd (Parwal),6.9,33.44,64.21,71,657.29,90,40,72
Snake Gourd (Parwal),6.71,33.81,67.9,1205,636.09,87,31,65
Snake Gourd (Parwal),6.2,32.28,74.27,311,664.52,93,34,62
Snake Gourd (Parwal),6.91,32.75,71.94,976,679.63,80,42,77
Snake Gourd (Parwal),6.16,32.76,69.96,1163,603.42,65,49,65
Snake Gourd (Parwal),6.12,25.55,75.43,81,683.29,90,38,66
Snake Gourd (Parwal),6.8,26.06,78.98,698,691.23,86,42,79
Snake Gourd (Parwal),6.41,31.73,79.06,1326,721.16,65,31,83
Snake Gourd (Parwal),6.55,34.83,70.07,505,651.73,66,36,100
Snake Gourd (Parwal),6.59,30.33,70.86,148,717.23,89,42,88
Snake Gourd (Parwal),6.84,30.24,60.06,272,757.5,91,35,78
Snake Gourd (Parwal),6.16,31.1,63.21,291,770.53,100,36,88
Snake Gourd (Parwal),6.42,25.41,62.14,534,687.57,85,47,61
Snake Gourd (Parwal),6.55,31.86,67.63,73,629.06,87,30,98
Snake Gourd (Parwal),6.2,33.22,63.81,538,783.83,87,32,96
Snake Gourd (Parwal),6.74,26.37,70.25,1152,732.2,62,39,75
Snake Gourd (Parwal),6.94,32.09,71.08,1089,622.45,76,40,67
Snake Gourd (Parwal),6.72,33.52,67.99,793,719.72,71,47,90
Snake Gourd (Parwal),6.58,32.72,70.7,91,605.78,81,37,91
Snake Gourd (Parwal),6.67,30.27,71.19,451,752.8,91,30,81
Snake Gourd (Parwal),6.71,27.78,60.27,1000,694.26,68,38,75
Snake Gourd (Parwal),6.64,31.83,68.71,572,685.87,65,47,88
Snake Gourd (Parwal),6.88,33.84,72.69,1116,727.19,88,49,78
Snake Gourd (Parwal),6.2,29.91,67.18,1008,646.94,85,49,60
Snake Gourd (Parwal),6.46,32.1,68.62,696,749.23,76,33,67
Snake Gourd (Parwal),6.56,28.45,70.17,724,628.03,68,32,100
Snake Gourd (Parwal),6.52,27.49,68.19,615,764.43,82,40,73
Snake Gourd (Parwal),6.48,26.14,63.94,520,788.56,84,48,62
Snake Gourd (Parwal),6.19,33.18,79.31,610,734.84,82,36,73
Snake Gourd (Parwal),6.79,30.84,74.78,503,769.35,61,43,68
Snake Gourd (Parwal),6.36,33.91,66.38,367,714.08,66,41,94
Snake Gourd (Parwal),6.05,28.64,78.14,242,616.95,67,31,81
Snake Gourd (Parwal),6.13,30.54,62.12,265,603.27,61,49,66
Snake Gourd (Parwal),6.39,31.21,61.42,357,758.33,93,47,75
Snake Gourd (Parwal),6.37,26.05,67.23,1483,730.02,70,44,95
Snake Gourd (Parwal),6.78,34.63,71.73,231,676.51,80,39,62
Snake Gourd (Parwal),6.57,28.21,71.72,185,646.51,64,37,96
Snake Gourd (Parwal),6.17,32.88,78.09,504,704.86,63,33,91
Snake Gourd (Parwal),6.84,28.59,77.14,898,762.91,100,32,96
Snake Gourd (Parwal),6.68,33.93,63.92,1027,639.58,79,31,78
Snake Gourd (Parwal),6.49,32.53,66.44,865,666.88,65,41,68
Snake Gourd (Parwal),6.26,25.14,62.11,839,600.23,85,39,93
Snake Gourd (Parwal),6.31,32.61,66.62,1400,643.9,96,42,93
Snake Gourd (Parwal),6.96,30.36,61.2,187,632.62,93,48,82
Snake Gourd (Parwal),6.62,28.8,64.89,67,767.8,68,35,78
Snake Gourd (Parwal),6.1,28.4,60.16,84,724.24,78,41,78
Snake Gourd (Parwal),6.32,26.51,68.58,398,724.47,89,48,72
Snake Gourd (Parwal),6.89,28.9,63.59,1052,787.0,73,46,90
Snake Gourd (Parwal),6.03,34.23,67.79,779,709.17,82,30,68
Snake Gourd (Parwal),6.94,34.72,66.72,328,793.34,95,45,93
Snake Gourd (Parwal),6.38,26.35,73.86,279,605.95,63,45,61
Snake Gourd (Parwal),6.38,25.52,76.81,443,721.68,100,35,79
Snake Gourd (Parwal),6.89,32.18,66.97,1354,643.91,75,47,95
Snake Gourd (Parwal),6.23,27.9,74.17,169,734.53,72,36,83
Snake Gourd (Parwal),6.63,28.35,74.9,287,659.99,96,32,99
Snake Gourd (Parwal),6.74,34.38,60.3,632,709.67,90,44,80
Snake Gourd (Parwal),6.96,30.82,60.34,1384,683.38,70,40,83
Snake Gourd (Parwal),6.19,34.26,63.84,622,747.75,76,49,66
Snake Gourd (Parwal),6.78,29.44,66.15,1002,641.26,79,44,69
Snake Gourd (Parwal),6.76,25.05,60.12,294,758.44,70,31,68
Snake Gourd (Parwal),6.3,28.94,67.07,65,670.79,81,42,74
Snake Gourd (Parwal),6.95,30.93,72.87,1189,660.61,94,40,75
Snake Gourd (Parwal),6.27,33.03,62.9,246,645.89,69,46,66
Snake Gourd (Parwal),6.38,25.38,74.18,855,778.56,70,38,67
Snake Gourd (Parwal),6.84,29.14,75.75,138,683.64,76,30,100
Snake Gourd (Parwal),6.34,33.97,66.3,1356,693.23,70,37,91
Snake Gourd (Parwal),6.58,29.78,66.95,1456,648.11,69,35,82
Snake Gourd (Parwal),6.26,30.68,69.36,976,685.45,94,47,61
Snake Gourd (Parwal),6.63,26.21,66.8,599,770.82,70,34,68
Snake Gourd (Parwal),6.82,30.54,69.22,137,656.01,89,37,63
Snake Gourd (Parwal),6.66,25.24,73.15,691,658.22,64,40,80
Snake Gourd (Parwal),6.37,27.86,69.55,1146,770.05,72,46,83
Snake Gourd (Parwal),6.56,26.35,78.94,525,749.46,83,42,95
Snake Gourd (Parwal),6.7,28.12,65.24,370,733.02,66,35,65
Snake Gourd (Parwal),6.71,32.76,64.7,217,686.25,76,39,79
Snake Gourd (Parwal),6.02,26.25,64.45,1209,774.55,68,40,78
Snake Gourd (Parwal),6.26,34.03,63.18,1199,799.99,90,49,76
Snake Gourd (Parwal),6.13,33.63,71.39,321,663.69,86,43,71
Snake Gourd (Parwal),6.47,33.39,73.67,1469,789.2,70,39,75
Snake Gourd (Parwal),6.39,30.35,77.21,982,790.07,63,44,98
Snake Gourd (Parwal),6.33,25.54,60.25,200,704.53,90,36,88
Snake Gourd (Parwal),6.26,28.55,60.8,678,721.64,72,43,72
Snake Gourd (Parwal),6.59,34.71,75.21,1090,722.75,66,31,83
Snake Gourd (Parwal),6.38,28.76,74.92,78,760.44,82,31,64
Snake Gourd (Parwal),6.57,28.02,73.68,1202,671.26,84,38,73
Snake Gourd (Parwal),6.15,29.04,69.14,383,672.12,94,49,72
Snake Gourd (Parwal),6.07,31.56,78.83,465,755.11,81,47,86
Snake Gourd (Parwal),6.75,29.16,66.79,1481,769.35,80,35,66
Snake Gourd (Parwal),6.06,26.04,77.36,1084,735.44,88,39,89
Snake Gourd (Parwal),6.05,30.0,76.15,268,753.8,75,41,76
Snake Gourd (Parwal),6.06,29.71,63.45,411,780.96,86,36,99
Snake Gourd (Parwal),6.78,34.03,78.05,235,733.66,97,34,89
Snake Gourd (Parwal),6.7,28.78,73.52,1350,741.41,81,44,92
Snake Gourd (Parwal),6.98,34.03,74.33,1290,729.72,74,50,71
Snake Gourd (Parwal),6.35,27.19,75.7,1061,732.86,92,33,95
Snake Gourd (Parwal),6.68,32.07,77.85,294,659.16,62,47,75
Snake Gourd (Parwal),6.86,28.64,73.9,1020,795.71,93,40,79
Snake Gourd (Parwal),6.79,34.24,78.84,1087,680.63,82,35,65
Snake Gourd (Parwal),6.44,31.14,70.36,865,745.76,67,46,69
Snake Gourd (Parwal),6.79,25.4,69.69,139,798.72,94,49,63
Snake Gourd (Parwal),6.54,33.02,67.84,291,663.84,71,32,88
Snake Gourd (Parwal),6.84,29.8,71.3,237,698.91,91,37,98
Snake Gourd (Parwal),6.18,28.69,60.26,589,738.76,73,37,77
Snake Gourd (Parwal),6.69,34.35,74.94,796,610.93,66,33,70
Snake Gourd (Parwal),6.12,32.53,63.49,1003,680.69,91,36,78
Snake Gourd (Parwal),6.41,29.02,75.95,352,798.51,85,36,67
Snake Gourd (Parwal),6.78,31.71,79.87,131,669.02,70,32,92
Snake Gourd (Parwal),6.26,33.51,68.24,868,726.49,79,47,98
Snake Gourd (Parwal),6.38,27.31,66.79,1454,604.46,80,43,77
Snake Gourd (Parwal),6.38,27.79,65.97,669,631.85,98,35,86
Snake Gourd (Parwal),6.64,26.93,77.4,1114,667.92,84,30,79
