Crop,pH,Temperature (Â°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Cardamom,5.94,15.7,82.47,845,1618.46,55,51,74
Cardamom,5.73,30.1,83.55,1077,2427.36,59,69,72
Cardamom,5.57,21.53,81.18,1412,1630.49,50,41,89
Cardamom,6.39,28.76,70.33,1408,2010.3,57,58,71
Cardamom,5.93,21.08,78.33,1146,2062.57,48,75,70
Cardamom,5.78,25.92,71.94,1172,2400.08,73,43,88
Cardamom,5.59,34.2,79.08,772,1955.74,71,52,67
Cardamom,5.58,22.59,79.71,1196,2442.05,79,44,75
Cardamom,6.42,15.74,87.56,1043,1740.08,54,53,87
Cardamom,6.3,23.75,75.3,1395,2335.15,62,48,96
Cardamom,6.09,13.95,82.15,942,2238.09,43,69,96
Cardamom,6.39,21.11,82.56,659,1674.13,51,58,76
Cardamom,6.47,23.69,77.08,1163,2207.38,53,43,75
Cardamom,6.14,11.39,83.7,1065,1542.53,46,77,82
Cardamom,6.26,33.43,80.84,923,2259.88,66,68,99
Cardamom,5.7,15.5,78.44,673,2496.0,72,47,64
Cardamom,5.58,12.48,80.26,1271,2265.85,48,68,93
Cardamom,5.86,22.55,75.12,1096,1758.15,77,49,86
Cardamom,6.35,16.5,87.51,882,1923.61,40,52,69
Cardamom,6.38,25.33,76.93,902,1788.83,43,69,94
Cardamom,6.37,19.72,76.32,1370,2064.42,43,76,71
Cardamom,5.97,27.71,86.65,1144,2481.83,70,64,65
Cardamom,5.72,12.78,80.77,1467,2036.19,68,56,90
Cardamom,5.99,27.88,86.06,757,1994.16,52,68,62
Cardamom,5.74,25.87,75.07,612,2344.16,49,48,99
Cardamom,6.46,30.59,78.96,913,1701.77,40,58,69
Cardamom,5.99,15.75,87.77,678,2430.84,49,61,86
Cardamom,5.67,24.3,75.03,935,2074.6,42,71,96
Cardamom,5.64,11.69,83.48,1399,1574.73,61,69,73
Cardamom,5.6,26.39,81.91,895,2489.41,55,42,76
Cardamom,6.04,28.34,89.7,835,1713.31,78,41,69
Cardamom,5.61,30.02,78.13,1158,1513.16,63,66,68
Cardamom,5.8,32.63,70.77,1140,1828.52,79,70,84
Cardamom,6.5,27.56,70.73,1499,1726.14,60,60,83
Cardamom,6.18,27.02,70.65,846,1893.11,77,52,89
Cardamom,6.2,31.99,83.07,1352,1808.23,44,58,87
Cardamom,6.24,31.97,87.01,1289,1931.91,77,71,89
Cardamom,6.23,15.95,88.19,855,2061.66,78,66,84
Cardamom,6.04,22.57,72.95,1287,1651.01,75,55,86
Cardamom,6.19,28.57,79.95,938,2454.45,54,61,77
Cardamom,5.56,28.2,83.86,1095,2329.16,65,68,71
Cardamom,5.83,10.93,75.53,1196,1537.56,76,72,73
Cardamom,5.53,17.82,77.76,1263,2379.51,66,46,97
Cardamom,5.9,31.46,77.57,755,2494.74,72,78,85
Cardamom,5.98,13.84,89.51,1342,1920.65,60,67,100
Cardamom,6.05,29.45,86.64,1488,1670.66,71,64,60
Cardamom,6.0,20.89,72.48,1020,2172.81,57,73,92
Cardamom,5.74,12.31,88.69,1415,1643.45,78,74,81
Cardamom,6.22,34.21,80.21,1435,2054.79,77,54,73
Cardamom,6.44,13.34,74.62,1048,1604.14,53,62,76
Cardamom,6.15,26.84,84.94,1245,1744.83,74,68,97
Cardamom,5.53,12.15,87.62,975,2173.39,70,74,67
Cardamom,5.65,27.06,88.4,738,2458.96,74,74,92
Cardamom,5.91,12.7,72.35,727,2202.97,42,78,61
Cardamom,6.1,12.27,80.24,657,2293.81,40,62,81
Cardamom,5.86,23.64,84.31,1433,2060.47,67,52,67
Cardamom,5.89,20.66,75.45,1442,2258.02,56,56,91
Cardamom,5.57,12.16,72.74,1229,2219.65,76,70,60
Cardamom,6.38,33.17,82.27,1205,1569.49,74,76,64
Cardamom,5.51,25.14,75.37,666,1634.11,67,64,61
Cardamom,6.14,16.31,82.95,1386,2417.41,75,51,68
Cardamom,6.0,28.03,76.36,1103,2449.84,62,58,76
Cardamom,5.8,33.27,86.8,1421,1852.56,56,67,66
Cardamom,5.54,16.23,72.32,958,2087.25,57,80,94
Cardamom,6.12,20.06,84.57,1202,1703.56,48,67,91
Cardamom,6.3,23.09,85.99,1232,1780.06,74,50,75
Cardamom,6.16,25.69,84.72,980,1625.21,63,55,98
Cardamom,6.45,17.63,73.04,908,1523.46,73,72,82
Cardamom,5.97,23.47,77.96,711,1867.89,78,57,93
Cardamom,5.99,10.01,71.59,716,1757.61,67,69,63
Cardamom,6.4,18.25,82.35,923,2154.71,51,79,79
Cardamom,5.94,29.25,82.98,1406,2481.64,74,50,84
Cardamom,5.94,12.06,72.16,1306,2174.71,56,66,83
Cardamom,6.1,30.28,80.34,1400,2081.61,58,73,93
Cardamom,6.28,31.66,77.9,1340,1716.87,67,52,62
Cardamom,5.82,27.46,74.66,965,2335.28,50,51,67
Cardamom,5.58,18.72,72.07,1167,1674.01,42,62,82
Cardamom,6.41,20.78,71.81,646,1835.83,43,62,98
Cardamom,5.97,15.55,81.23,1198,1615.63,79,61,64
Cardamom,5.51,19.19,81.78,933,1639.69,75,54,71
Cardamom,6.19,10.26,79.89,844,2447.31,69,66,86
Cardamom,6.42,26.24,89.81,912,1641.87,40,71,88
Cardamom,5.73,18.09,73.29,1481,2350.06,56,70,65
Cardamom,6.37,25.69,73.9,914,2328.55,78,80,93
Cardamom,5.58,16.31,70.05,995,1569.3,64,59,84
Cardamom,6.04,29.16,77.04,1097,2279.75,64,57,63
Cardamom,6.17,18.03,79.11,1462,2189.65,70,58,70
Cardamom,6.24,16.4,88.89,758,2150.76,66,62,77
Cardamom,5.87,25.5,71.19,747,1686.8,58,69,87
Cardamom,5.92,30.18,84.45,1439,1722.87,57,50,68
Cardamom,5.58,28.08,87.31,662,2226.42,51,60,72
Cardamom,6.23,11.1,78.06,1175,2143.86,49,52,79
Cardamom,5.92,26.65,74.73,1480,2145.5,67,80,92
Cardamom,6.07,15.42,79.54,872,2147.95,70,64,73
Cardamom,5.96,19.06,71.5,1282,2017.29,56,60,86
Cardamom,6.46,32.98,77.03,1097,1516.5,43,59,78
Cardamom,6.08,27.12,89.01,994,2327.76,59,43,99
Cardamom,5.75,23.11,81.95,1482,1964.52,56,41,70
Cardamom,6.28,31.63,70.11,946,2291.21,44,66,71
Cardamom,5.73,15.8,72.25,1285,1594.48,42,74,79
Cardamom,6.02,21.32,77.25,882,1830.17,50,49,62
Cardamom,5.78,29.37,82.34,1148,2448.57,41,80,93
Cardamom,6.25,10.59,89.84,1297,1571.04,46,44,100
Cardamom,6.24,21.49,74.52,1171,2111.89,76,78,76
Cardamom,6.38,13.04,87.44,1112,2385.44,67,52,73
Cardamom,6.43,30.04,83.87,1474,2287.28,69,76,94
Cardamom,6.45,31.24,87.6,1429,2094.92,48,53,74
Cardamom,6.04,25.49,78.6,1187,1785.01,77,73,90
Cardamom,5.99,23.64,87.62,1305,1819.9,72,61,98
Cardamom,6.1,15.32,75.7,925,1828.43,70,74,96
Cardamom,6.09,25.2,86.07,1065,2285.97,62,47,99
Cardamom,6.02,14.21,76.91,1081,2475.87,49,66,60
Cardamom,5.5,34.84,84.79,765,2429.26,70,75,81
Cardamom,5.77,12.13,76.92,712,1883.62,73,80,75
Cardamom,5.88,15.92,70.3,1155,2157.82,71,80,94
Cardamom,6.15,24.46,77.72,874,2382.99,77,71,77
Cardamom,6.38,26.8,84.07,952,2418.09,48,70,64
Cardamom,6.17,22.72,75.24,1262,2052.32,73,75,62
Cardamom,6.11,21.72,88.83,722,1671.08,52,47,99
Cardamom,5.77,31.21,70.31,1426,1916.5,75,55,100
Cardamom,6.15,11.7,73.47,1135,1591.91,69,77,92
Cardamom,6.16,20.84,88.25,966,2480.24,69,55,86
Cardamom,5.63,34.19,82.0,1393,1851.08,43,71,69
Cardamom,5.96,25.77,87.38,1402,2141.67,42,62,67
Cardamom,5.51,13.11,76.97,1008,2160.4,70,44,79
Cardamom,5.96,29.28,88.9,804,1696.41,73,57,87
Cardamom,6.45,22.74,73.77,1047,2447.99,71,57,66
Cardamom,5.61,13.86,87.76,928,1852.81,64,44,67
Cardamom,5.88,20.49,89.21,848,2322.7,51,49,66
Cardamom,6.1,22.27,89.5,1490,1571.43,54,75,93
Cardamom,5.78,34.47,78.67,872,2362.63,71,80,92
Cardamom,6.27,18.07,76.86,968,1687.49,71,72,87
Cardamom,6.07,17.95,85.41,1118,2132.58,58,42,74
Cardamom,5.95,25.61,79.01,1187,1668.09,70,67,86
Cardamom,6.03,17.27,87.63,1041,1886.18,51,51,88
Cardamom,5.83,22.36,73.21,807,2373.93,66,79,91
Cardamom,6.43,26.82,77.37,1407,1944.68,73,65,60
Cardamom,6.03,10.82,78.89,833,2158.59,80,63,96
Cardamom,5.93,26.51,83.82,794,1640.53,75,72,77
Cardamom,6.0,23.84,79.8,794,2411.44,46,46,98
Cardamom,6.17,12.42,73.5,1233,1841.15,44,67,74
Cardamom,6.05,19.37,79.34,894,1923.65,52,53,63
Cardamom,6.01,32.55,74.17,1441,1546.95,51,44,72
Cardamom,5.65,29.01,87.58,1023,2090.73,45,63,79
Cardamom,5.68,24.38,83.7,717,2473.83,57,54,91
Cardamom,6.44,15.04,79.24,1181,1551.74,55,47,90
Cardamom,6.05,28.93,81.55,1033,2001.01,41,76,91
Cardamom,5.67,14.57,87.09,1337,1651.59,61,74,72
Cardamom,6.05,15.72,76.99,1074,1597.41,80,68,65
Cardamom,5.97,26.0,88.48,747,2387.79,55,64,63
Cardamom,5.7,21.62,83.78,671,2444.5,46,43,97
Cardamom,6.49,34.26,81.22,731,1961.07,47,51,79
Cardamom,6.27,16.32,70.97,1184,1611.18,80,72,86
Cardamom,5.79,29.58,89.48,1055,1679.81,75,51,90
Cardamom,5.8,17.38,80.91,1458,1538.46,60,53,65
Cardamom,5.56,18.33,86.78,670,2121.87,63,45,100
Cardamom,5.88,33.57,82.35,1255,2210.16,73,48,71
Cardamom,6.03,27.73,79.74,977,1907.79,67,73,100
Cardamom,6.35,26.94,88.78,1291,1645.52,62,54,73
Cardamom,5.83,17.09,71.23,1297,1688.31,57,60,68
Cardamom,5.7,30.17,79.58,1097,2134.84,67,46,83
Cardamom,5.9,12.23,76.29,992,2141.27,62,67,96
Cardamom,6.15,29.22,80.26,998,2338.02,41,49,81
Cardamom,5.5,20.28,71.15,1126,2452.5,67,70,70
Cardamom,6.13,28.56,76.46,821,2294.29,73,42,81
Cardamom,6.39,30.63,87.26,882,1685.98,63,48,87
